iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
239,413.103,1,19.7381,22.3704,12.5404,1.69316,-0.331788,0.252915,0.741416,0.191057,0.802892
240,422.086,1,19.7088,22.2738,12.4209,1.74312,-0.334319,0.25707,0.751413,0.198447,0.849128
241,419.616,1,19.1677,22.0175,12.2295,1.71946,-0.311224,0.247439,0.75102,0.205669,0.860909
242,413.385,1,19.7656,22.4245,11.5231,1.68582,-0.32879,0.252974,0.677223,0.20106,0.867364
243,411.589,1,19.4592,22.486,12.5104,1.6811,-0.319627,0.25367,0.729979,0.186506,0.823396
244,407.873,1,19.1535,22.0884,11.9384,1.67104,-0.310873,0.242935,0.73564,0.192582,0.760274
245,407.913,1,18.9035,22.3164,11.8396,1.6859,-0.293923,0.246885,0.697183,0.201874,0.711213
246,409.337,1,18.4702,22.0527,11.6973,1.67716,-0.269127,0.262665,0.677631,0.199374,0.755863
247,413.282,1,18.7463,22.1113,11.5768,1.68515,-0.289093,0.254484,0.742822,0.197562,0.795109
248,403.639,1,19.5318,22.3823,11.5312,1.58982,-0.326656,0.245768,0.763431,0.208613,0.784267
249,405.322,1,19.0736,22.5214,11.7143,1.59549,-0.30788,0.256996,0.740346,0.216492,0.769743
250,409.614,1,19.2261,22.4539,11.7172,1.65028,-0.313729,0.257302,0.756893,0.195611,0.782646
