time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
-2.28244,23.4009,4.80443,9.38454,13.3741,17.1294,21.148,25.6637,31.0226,37.7052,46.7842,65.9332,All
-2.09,22.4778,4.48157,8.82151,12.6503,16.3229,20.2721,24.7132,29.9929,36.57,45.5974,64.464,All
-1.89756,21.6389,4.11923,8.30625,12.0014,15.5741,19.4372,23.7998,29.0353,35.4956,44.5022,63.0273,All
-1.70513,20.8198,3.8117,7.81614,11.3651,14.8891,18.6639,22.94,28.1182,34.4815,43.3645,61.8293,All
-1.51269,20.0263,3.54566,7.38109,10.775,14.2373,17.9463,22.1246,27.2812,33.5297,42.3278,60.4123,All
-1.32025,19.297,3.30472,6.9927,10.2202,13.6038,17.2394,21.3258,26.4064,32.6195,41.1532,59.271,All
-1.12782,18.5965,3.07721,6.57881,9.74793,13.0318,16.5518,20.5852,25.5768,31.7683,40.1019,58.0722,All
-0.935381,17.897,2.85216,6.20282,9.31222,12.4434,15.9263,19.8373,24.8003,30.8049,39.1647,57.0912,All
-0.742945,17.2262,2.64858,5.84585,8.85158,11.8757,15.2683,19.1542,24.0249,29.8991,38.2401,56.1144,All
-0.550508,16.5343,2.477,5.5266,8.41477,11.3378,14.6364,18.4697,23.2134,29.0117,37.306,54.9331,All
-0.358071,15.8797,2.31065,5.2039,8.05084,10.8161,14.1058,17.81,22.4613,28.1433,36.3591,53.8985,All
-0.165635,15.3226,2.15026,4.90432,7.64224,10.3128,13.5608,17.2055,21.7775,27.3345,35.4752,52.7761,All
0.0268016,26.4045,11.7051,15.5615,18.6504,21.5012,24.6961,28.3968,32.6444,38.3641,46.1746,62.9447,All
0.219238,86.87,50.2743,60.6121,68.6961,75.8036,82.8502,90.8815,100.032,111.287,126.925,162.129,All
0.411675,119.951,74.8742,88.5279,98.1716,107.437,115.617,124.304,135.075,147.64,165.283,196.86,All
0.604111,112.883,70.0937,82.9757,92.1978,100.538,108.792,117.064,126.905,138.926,155.114,186.538,All
0.796548,95.2784,58.1014,69.7125,77.733,84.5562,91.8088,99.0998,107.235,117.298,131.687,158.687,All
0.988984,83.9353,49.1514,60.3327,67.8816,74.1892,81.0622,87.4073,94.8965,103.866,116.506,142.322,All
1.18142,76.0066,41.9385,53.1643,60.6501,66.8708,72.6386,79.0202,86.0807,94.3693,106.558,131.314,All
1.37386,69.5229,36.187,47.5512,54.8107,61.0206,66.6512,72.5224,79.1908,87.6458,99.5076,122.867,All
1.56629,64.4341,31.8047,42.8501,49.8551,56.0306,61.7327,67.3256,74.057,82.5722,93.9247,116.524,All
